Revenue,Zip,DollarPerPet,DollarPerClinic,TotalPets,TotalClinics,PetsPerClinic,Product.Sales,Product.Sales2,Avg.Vet.Cost,PercentCoupon,NumVets5mi,NmVets10mi,Est.Median.Inc,Rnd.Inc.5,Rnd.Pop,Population,Households,Est.Median.Inc2,Rnd.Inc.10,Pop3,Household4,Male,Female,White,PercWhite,Black,PercBlack,American.Indian,Asian,PercAsian,Hawaiian,Other.Race,X2Races,HispOrigin,PercHispanic,X2025Pop,Male5,Female6,White7,Black8,AmInd9,Asian10,HW11,Other12,X2Race13,HispOrigin14,X2025Pop15,target
426711.06,93906,79.12,4063.91,5393,105,51.36,0.2159,81075.1,180,0.02,8,12,61972.14,70000,160000,159021,41423,68247.34,70000,231456,64061,71501.8604,79604.66,75689.66,0.6021,2078.16,0.01,1158.6,8584.27,0.073,77.16,66115.25,5317.99,123968.59,0.77,169534.76,115114.55,116341.91,118381.34,4547.34,1702.8,30384.5272,796.81,80659.82,10207.51,155825.27,244073.45,426711.06
214672.68,95401,84.05,4209.27,2554,88.61,30.5378,0.24,51521.44,183,0.03,14,36,73271.72,80000,190000,183317,66078,76994.72,80000,326282,120114,89775.13,93541.48,123074.94,0.65,6337.4714,0.02,2849.46,9603.03,0.05,1111.38,30866.16,11851.45,63242.94,0.33,197622.79,158542.8,167739.15,234388.65,6460.77,3705.53,14761.98,1327.7,42328.1794,19977.33,95665.94,351392.2,214672.68
169165.02,89732.22,79.12,3316.96,2138,51,31.7163,0.22,37216.3,183,0.0234,6.8,10,71682.79,80000,140000,136077.8,46928,84146.1,90000,253628.64,85074,67521.84,71545.84,52905.83,0.38,22925.8911,0.1722,617.5,33409.89,0.1533,1297.51,10248.2705,9470.55,35897.0165,0.2744,153859.31,120857.99,127216.6,108683.91,37258.87,1080.56,60741.67,1920.16,20209.12,18180.31,57097.86,275656.53,169165.02
1323.43,96094,35.77,1323.43,37,1,37,0.14,185.28,308,0.35,1.47,1,50424.79,60000,10000,3889.84,1414.71,49569.74,50000,10348,4781,1275.4,1309.97,2219.08,0.2998,182.4054,0.01,28.02,67.82,0.01,2.37,53.54,129.87,304.4,0.0566,3693.2936,5043.75,5304.75,9128.31,258.66,90.9,221.33,16.15,155.62,477.53,1112.26,9360.74,1323.43
137610.2,95688,73.79,2646.35,1865,52,35.87,0.14,19265.43,165,0.03,6,14,85182.37,90000,120000,112442,37751,81263.71,90000,232235,76273,58078.89,54363.39,71978.26,0.6,11701.05,0.1,610.72,10346.63,0.09,836.74,8237.83,8731.06,26912.04,0.22,121731.31,117338.16,114896.95,132153.29,30789.76,1340.13,27553.9241,2186.58,21032.81,17734.23,64757.53,252082.42,137610.2
147940.06,94403,83.77,2900.79,1766,51,34.63,0.2437,34026.21,183,0.04,21,36,139891.05,140000,250000,241120,85136.19,132185.27,140000,525392.31,178437,118555.03,122564.5,138375.55,0.5453,4190.06,0.02,736.53,54375.7191,0.27,2550.4,14037.25,14960.94,39410.09,0.16,270239.79,247334.63,254053.18,312594.7999,9738.83,2114.85,114245.05,5914.21,52788.22,28466.23,120832.1775,563500.26,147940.06
123352.51,95673,71.8,2372.16,1718,53.39,33.04,0.16,20744.373,165,0.02,3,34,58325.99,60000,240000,238643,76209,65044.75,70000,876596,330383,116907.78,121735.7,142116.28,0.59,27382.94,0.11,1889.55,33921.988,0.11,3002.11,20866.61,15830.21,61847.76,0.26,278376.7448,425584.01,435492.6755,587509.25,72581.34,5874.09,81462.45,5813.08,65319.96,58035.77,200764.8114,961625.88,123352.51
150942.68,95816,87.91,2847.98,1717,53,32.4,0.25,34739.5715,178,0.02,15,31,56355.01,60000,390000,387207,152455,61123.91,70000,988468,356368,188884.98,198321.89,208970.83,0.54,42387.79,0.11,3029.88,51146.89,0.13,3845.79,50137.21,27688.49,117422.3863,0.31,425968.21,479841.27,508626.91,513024.24,117447.19,7441.05,172131.2703,13706.07,97090.35,74589,261285.37,1088767.17,150942.68
126360.26,93235.62,75.62,2430.01,1671,52,25.3779,0.14,17690.44,189,0.01,23,55.44,94882.57,1.00E+05,720000,713715,227273.23,107406.1261,120000,1500599,486320,359978.8,353736.16,294988.1,0.41,22338.78,0.03,4670.84,209715.73,0.29,3835.33,140189.7,37976.48,278406.76,0.39,810304.58,758091.18,742507.63,612823.32,40896.03,7687.73,446572.3723,6859.29,175933.8448,76108.26,404902.31,1701359.36,126360.26
105761.43,95340,68.5,2033.87,1544,52,29.69,0.1,10576.14,182,0.0231,2,4,50250.94,60000,1.00E+05,96377,29364,52358.19,60000,147942,44907,45544.7119,48661.04,54965.55,0.55,5356.39,0.05,772.53,12051.01,0.12,112.16,18924.47,4195.1,49299.29,0.4966,101801.84,74386.31,75107.6654,84964.74,7002.72,1131.64,14489.7,215.51,33830.44,6307.07,78632.77,157552.98,105761.43
